customer_id,name,gender,age,city,signup_date
109,장영일,F,50,광주,2024-06-11
110,이정숙,F,40,부산,2026-05-10
111,류정훈,F,41,광주,2026-08-02
112,송민재,F,46,성남,2023-12-02
113,박준혁,M,57,성남,2024-01-13
114,손영환,F,60,성남,2026-09-07
115,이민재,M,60,부산,2026-08-25
116,권종수,F,34,부산,2024-03-05
117,김지원,F,65,성남,2026-09-07
118,김선영,F,35,광주,2024-03-28
119,송정남,F,63,대전,2026-02-06
120,하춘자,F,61,광주,2026-04-30
121,손영자,M,34,서울,2026-01-20
122,김준호,F,58,울산,2025-08-21
123,김재현,M,20,서울,2025-12-09
124,김시우,M,67,대구,2024-12-08
125,이지후,M,28,수원,2024-01-25
126,김정수,M,53,서울,2024-08-19
127,이영철,F,22,대구,2025-06-28
128,전성훈,F,41,고양,2026-03-17
129,김춘자,F,45,대구,2026-03-04
130,김성현,F,37,대전,2025-05-19
131,곽영자,F,40,인천,2026-01-17
132,배예지,F,60,부산,2024-11-18
133,김성진,M,67,성남,2026-08-12
134,오지현,M,57,대구,2024-04-07
135,박하윤,F,28,대구,2026-03-29
136,김은주,M,19,대구,2024-04-19
137,김선영,M,68,울산,2025-02-11
138,이정훈,F,35,대구,2025-05-02
139,하승현,F,42,서울,2024-01-27
140,권광수,M,32,인천,2025-03-18
141,김진호,M,40,광주,2023-11-23
142,하서연,F,32,서울,2023-10-23
143,김예은,F,43,대전,2024-03-17
144,김정자,M,22,광주,2025-04-17
145,조정호,M,59,성남,2024-03-17
146,김숙자,M,61,성남,2026-03-08
147,이정남,M,19,부산,2025-04-27
148,오도현,M,29,고양,2026-08-29
149,김정자,M,20,부산,2025-01-02
150,조미영,M,40,대전,2026-02-17
